"length","width","height","orientation","price","filter_id","original_filter_id","qty"
4,48,1,"portrait",3.12,"4x48x1","12x48x1",3
4,60,1,"portrait",4.41,"4x60x1","12x60x1",3
4,50,1,"portrait",4.16,"4x50x1","12.5x50x1",3
